ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,LIGHT,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z_azimuth,ORIENTATION_X_pitch,ORIENTATION_Y_roll,PROXIMITY,SOUND_LEVEL,LOCATION_Latitude,LOCATION_Longitude,LOCATION_Altitude,LOCATION_Altitude-google,LOCATION_Speed,LOCATION_Accuracy,LOCATION_ORIENTATION,Satellites_in_range,Time,Date
-1.457275,2.88797,8.491745,-2.347592,2.598536,9.160067,0.011643,-0.476809,0.474711,-0.212433,0.785431,1.543594,187,-7.6309,0.3967,-66.5588,55.6385,-15.3656,14.3747,5,38.55307,60.021183,30.370975,0,NaN,0,60,0,0 / 45,22,2020-01-16 18:58:10:919
-1.457275,2.88797,8.491745,-2.347592,2.598536,9.160067,0.011643,-0.476809,0.474711,-0.212433,0.785431,1.543594,187,-7.6309,0.3967,-66.5588,55.6385,-15.3656,14.3747,5,38.55307,60.021183,30.370975,0,NaN,0,60,0,0 / 45,2522,2020-01-16 18:58:10:919
-4.045395,-10.128098,-5.474823,-0.489746,-9.660727,-1.612733,-2.558319,1.824705,-1.107386,-0.727493,0.281906,0.12767,0,27.3483,39.2975,-12.7319,78.2176,84.6353,159.2528,0,56.45119,60.021183,30.370975,0,NaN,0,60,0,0 / 45,5022,2020-01-16 18:58:15:919
3.066574,-11.079803,-0.093857,-1.759782,-9.222369,-2.832219,3.379301,-2.202214,1.860962,-2.319885,-0.287476,0.5616,0,-0.2289,33.194,-1.9867,34.1886,83.0046,121.6667,0,49.48023,60.01975,30.368332,0,NaN,0,400,0,0 / 45,10022,2020-01-16 18:58:20:919
-1.623672,-14.633987,-2.570663,-0.2719,-8.469443,-4.936091,0.055508,-7.311337,2.29519,-2.761612,1.751267,0.506912,0,14.4562,30.5985,1.5121,121.206,86.1781,149.6768,0,49.80135,60.01975,30.368332,0,NaN,0,400,0,0 / 45,15022,2020-01-16 18:58:25:919
0.968063,-7.846435,-1.360397,-0.505005,-9.665319,-1.580174,-2.988615,-1.77953,3.217374,1.212891,-0.019379,0.170456,0,16.8396,30.2002,9.2026,124.7451,79.5677,162.9809,0,58.80039,60.01975,30.368332,0,NaN,0,400,0,0 / 34,20022,2020-01-16 18:58:30:919
0.294083,-3.664947,1.601242,-0.985882,-8.478847,-4.827793,0.807178,3.978805,5.767029,-0.568237,-0.014404,-1.288605,0,-5.2032,32.5333,11.5753,304.356,64.6427,149.139,0,62.16773,60.01975,30.368332,0,NaN,0,400,0,0 / 34,25022,2020-01-16 18:58:35:919
-0.335587,-7.848816,-2.352783,-0.689236,-8.08801,-5.502675,2.029775,-1.176495,0.743276,0.998764,-0.106735,0.479218,0,-4.4479,36.1237,15.7761,327.1874,56.4556,179.049,0,51.26453,60.021065,30.370337,0,NaN,0,39.6,0,0 / 34,30022,2020-01-16 18:58:40:919
1.613297,-10.354355,-4.621292,-0.649973,-9.674498,-1.466976,1.246374,-6.678886,2.368239,0.00061,-1.814178,0.296341,0,33.6472,46.785,-9.6222,56.2992,65.9536,171.2054,0,60.87297,60.021065,30.370337,0,NaN,0,39.6,0,0 / 33,35022,2020-01-16 18:58:45:919
-2.587326,-10.579407,-7.393783,0.14932,-9.339569,-2.986726,-1.508037,3.071303,1.097824,1.133881,-0.045303,-0.769989,0,32.7469,39.8972,-4.1946,65.7468,65.1974,169.6102,0,54.74445,60.021065,30.370337,0,NaN,0,39.6,0,0 / 34,40022,2020-01-16 18:58:50:919
-4.39975,-15.485123,9.105865,-0.567205,-9.587062,-1.984163,2.349508,-3.946383,-0.948088,-0.658615,-0.276642,0.10228,0,26.7731,49.3408,2.536,79.4452,79.9281,178.7083,0,52.94873,60.021065,30.370337,0,NaN,0,39.6,0,0 / 34,45022,2020-01-16 18:58:55:919
16.520798,6.911438,-2.823257,5.478181,3.892983,7.141752,-2.644589,-2.031894,5.156073,1.722794,-1.756302,5.245026,0,-5.9448,-33.3466,-26.7914,177.5826,-32.1455,-11.3719,5,47.61061,60.02108,30.3708,0,NaN,0,68.4,0,0 / 34,50022,2020-01-16 18:59:00:919
