ACTIVITY,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,LIGHT,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z_azimuth,ORIENTATION_X_pitch,ORIENTATION_Y_roll,PROXIMITY,SOUND_LEVEL,LOCATION_Latitude,LOCATION_Longitude,LOCATION_Altitude,LOCATION_Altitude-google,LOCATION_Speed,LOCATION_Accuracy,LOCATION_ORIENTATION,Satellites_in_range,Time,Date
WALKING,-1.3758700000000001,3.978531,4.6167300000000004,-2.5301869999999997,4.378413,8.402264,0.983776,-0.656315,-2.893787,-0.6987909999999999,-0.41272,-0.320404,24.0,20.2621,-23.0438,-17.1295,249.2228,-36.6777,23.945999999999998,5,26.70464,60.02118299999999,30.370975,0,,0.0,26.4,0.0,0 / 1,17,2020-01-10 18:02:58:887
WALKING,-1.3758700000000001,3.978531,4.6167300000000004,-2.5301869999999997,4.378413,8.402264,0.983776,-0.656315,-2.893787,-0.6987909999999999,-0.41272,-0.320404,24.0,20.2621,-23.0438,-17.1295,249.2228,-36.6777,23.945999999999998,5,26.70464,60.02118299999999,30.370975,0,,0.0,26.4,0.0,0 / 1,2517,2020-01-10 18:02:58:887
WALKING,5.029816,0.572784,12.112976,2.2541189999999998,0.814578,9.509249,1.15962,0.788959,1.896351,0.008545,-0.032958999999999995,0.421555,1.0,-6.4331,-18.5333,-46.4279,197.5357,-4.7647,-13.3355,5,63.3077,60.020485,30.371143,0,,0.0,64.808,0.0,2 / 4,100016,2020-01-10 18:04:38:886
WALKING,1.649216,-7.711150999999999,2.3039400000000003,-1.168398,-9.528686,2.0023419999999996,2.927125,1.7261790000000001,-0.060342999999999994,1.902405,1.64946,0.851044,0.0,-10.6491,45.0363,1.5366,355.8046,88.9654,84.1945,0,63.49654,60.01984399999999,30.369257,40,,6.12,6.068,219.5,25 / 35,200017,2020-01-10 18:06:18:887
WALKING,-3.311584,-6.089081,-2.101395,-0.158939,-9.805282,-0.039793,-2.341756,3.078408,-1.8043080000000002,3.173981,1.25975,1.203812,0.0,-24.176,71.8369,40.9668,214.6723,69.3382,-164.4772,0,67.09088,60.018974,30.368128000000002,43,,3.2039999999999997,6.068,159.7,27 / 36,300016,2020-01-10 18:07:58:886
WALKING,-1.234604,-14.9608,10.857224,-0.237285,-9.802427999999999,-0.162741,0.870447,-3.886721,4.611279,-1.619904,0.597336,-0.6975100000000001,0.0,9.0988,47.0444,-2.2552,321.7714,72.0172,31.4809,0,63.816680000000005,60.017790000000005,30.366945,42,,6.156000000000001,15.170001000000001,172.5,25 / 37,400017,2020-01-10 18:09:38:887
WALKING,4.497116,-14.082123000000001,-0.6181949999999999,-1.2254530000000001,-9.450583,2.314117,4.9207529999999995,-3.389178,-2.672671,0.509033,0.236023,0.17938199999999999,0.0,4.2114,49.0326,3.4958,341.7678,73.1128,27.793000000000003,0,64.48004,60.0163,30.367365000000003,52,,7.4879999999999995,13.652999999999999,182.3,24 / 38,500017,2020-01-10 18:11:18:887
WALKING,4.662308,-15.774826000000001,-0.2854,-1.4891889999999999,-9.280161,2.798447,4.076566000000001,-3.103655,-5.79371,0.81015,-0.050354,0.318222,0.0,4.4693,48.9273,-9.1995,6.0794,71.1403,28.0196,0,57.7202,60.014915,30.367835999999997,54,,6.12,15.170001000000001,152.3,26 / 38,600017,2020-01-10 18:12:58:887
WALKING,-9.889648,-0.8445889999999999,2.6379240000000004,0.976187,-8.842125999999999,-4.127257,-2.3160689999999997,-2.937459,8.974291000000001,-0.458221,-0.19859300000000002,0.11192300000000001,0.0,10.4538,32.4799,29.3228,130.9763,63.931999999999995,-174.5847,0,67.92135999999999,60.01345,30.368340000000003,40,,2.2680000000000002,16.687,186.7,23 / 35,700016,2020-01-10 18:14:38:886
WALKING,5.270432,-10.939743,0.740524,1.108579,-9.224534,-3.138377,-5.897962000000001,-7.480708,-0.328881,-2.770203,0.9337770000000001,-1.199417,0.0,3.7888,47.1787,7.8339,167.7345,88.0222,163.4853,0,64.9421,60.01201999999999,30.368437,43,,6.803999999999999,4.5509996,175.9,26 / 36,800017,2020-01-10 18:16:18:887
WALKING,2.8858189999999997,-9.086624,-0.48651099999999997,-0.664168,-9.755419,0.749041,-1.7670810000000001,2.556666,-1.277765,1.616028,1.309464,0.6388699999999999,0.0,2.7817,45.31399999999999,8.3237,318.6066,84.1408,41.5631,0,63.75917,60.01061,30.36883,42,,7.74,13.652999999999999,174.4,26 / 38,900017,2020-01-10 18:17:58:887
WALKING,-7.1578669999999995,-9.894669,4.365341,0.891159,-9.008780999999999,-3.770685,-0.33096,-1.307238,-5.0583540000000005,-0.015609999999999999,0.781265,-0.00827,0.0,10.8368,28.9612,28.3218,130.7193,64.2163,-174.8269,0,69.08699,60.0092,30.369071999999996,51,,2.9160000000000004,13.652999999999999,153.9,26 / 35,1000016,2020-01-10 18:19:38:886
WALKING,2.094528,-21.18573,3.70813,0.686305,-8.920996,-4.014376,0.078809,-0.562104,-2.399823,-0.48823500000000003,-0.47201499999999996,-0.5291899999999999,0.0,2.7771,33.5831,22.6608,131.4929,65.4623,-170.2984,0,64.66597,60.007819999999995,30.369367999999998,46,,3.636,4.5509996,176.6,23 / 34,1100016,2020-01-10 18:21:18:886
WALKING,3.692658,-8.649689,-2.7214959999999997,0.30672,-8.844501,-4.225054,-1.2461959999999999,-1.782734,-2.331756,0.318878,0.514771,-0.093323,0.0,5.0049,24.9847,20.1248,147.2256,66.8776,-178.7031,0,67.10045,60.006626000000004,30.36925,45,,3.528,13.652999999999999,199.5,21 / 35,1200017,2020-01-10 18:22:58:887
WALKING,-1.3746639999999999,-10.523147999999999,-1.555527,-0.9447709999999999,-9.514796,2.1786369999999997,2.3728,1.791377,-1.59208,1.367996,-0.19487000000000002,0.594833,0.0,-0.1999,27.2903,6.6834,341.0462,86.5816,23.2074,0,65.09304,60.005253,30.36832,42,,3.96,13.652999999999999,187.0,24 / 34,1300016,2020-01-10 18:24:38:886
WALKING,-16.458145000000002,-1.516159,-18.180862,0.361117,-8.690286,-4.529781,-2.064362,0.22394099999999997,-4.01032,-0.578064,0.125244,0.30438200000000004,0.0,14.3097,18.2739,23.8251,109.5916,63.1777,-173.2179,0,61.924240000000005,60.003871999999994,30.367582000000002,42,,4.68,16.687,187.6,22 / 33,1400016,2020-01-10 18:26:18:886
WALKING,1.9772189999999998,-7.103027,1.882553,-0.9231889999999999,-9.714313,0.9748020000000001,1.1069959999999999,1.456333,-1.6562569999999999,1.905243,1.9092099999999999,0.832932,0.0,16.243,23.3704,23.8007,143.267,82.1749,179.0511,0,65.62195,60.002613000000004,30.366556,41,,7.8839999999999995,13.652999999999999,168.4,26 / 34,1500016,2020-01-10 18:27:58:886
WALKING,4.050598,-7.213164999999999,2.025009,1.011366,-8.353144,-5.0371120000000005,1.200854,3.7387099999999998,8.121058999999999,-2.120209,-0.572693,-1.189484,0.0,-14.7766,47.9736,-15.4648,323.9581,73.7801,-167.9098,0,61.659,60.001312,30.365406,45,,3.4560000000000004,15.170001000000001,243.8,28 / 35,1600016,2020-01-10 18:29:38:886
WALKING,-7.4547419999999995,-16.094452,1.752075,-0.526315,-9.752818,0.8808549999999999,2.064371,-3.8422059999999996,-4.480487999999999,-2.5949709999999997,-0.923691,-1.205627,0.0,-8.1512,44.2154,-18.1915,85.0699,72.1225,25.3618,0,53.57724,60.001053000000006,30.362852,40,,4.0680000000000005,15.170001000000001,226.9,19 / 36,1700016,2020-01-10 18:31:18:886
WALKING,4.007492,-5.96579,-4.761352,0.795234,-9.052114999999999,-3.687437,1.1019649999999999,-4.333142,-5.517332,0.076187,0.633728,0.114578,0.0,2.4338,34.9731,30.9708,148.9809,67.3774,-167.8299,0,63.489580000000004,59.99997,30.361871999999998,44,,4.572,15.170001000000001,143.5,18 / 34,1800016,2020-01-10 18:32:58:886
WALKING,-0.564224,-9.937759,0.23773200000000003,-0.382615,-9.798316,0.130325,-0.340595,-0.054001,-0.061237,0.029845999999999998,-0.378983,0.0037990000000000003,0.0,-4.5624,32.4005,-15.7578,83.2417,87.7112,75.0643,0,58.73245,59.999106999999995,30.361732,40,,2.8080000000000003,71.298996,271.4,11 / 33,1900017,2020-01-10 18:34:38:887
WALKING,-1.132858,-9.518784,-2.571854,-1.6254879999999998,-9.426524,-2.160748,0.444604,0.14897,-0.27204,0.389725,1.2031100000000001,0.161102,0.0,-5.1743,31.0486,11.7874,283.3414,72.9279,143.986,0,62.41516,59.99915,30.361572,0,,0.0,28.896997,0.0,3 / 31,2000016,2020-01-10 18:36:18:886
WALKING,-0.570221,-9.960510000000001,-0.482925,-0.369088,-9.793174,-0.357627,0.41465799999999997,0.037148,0.122347,-0.021469,-0.403122,0.018706999999999998,0.0,2.3041,31.9397,-2.417,60.685,87.1438,134.8725,0,57.077780000000004,59.999157,30.361013,0,,0.0,34.157,0.0,0 / 32,2100016,2020-01-10 18:37:58:886
WALKING,0.054672000000000005,-10.128098,-1.264618,-0.618541,-9.764433,0.6660699999999999,0.205051,0.400183,-0.711972,0.48471099999999995,-0.11711099999999999,0.189682,0.0,20.9167,28.4225,-13.0981,197.2116,84.6816,42.8811,0,62.3236,59.999157,30.361013,0,,0.0,34.157,0.0,0 / 32,2200016,2020-01-10 18:39:38:886
WALKING,-0.9748379999999999,-14.563354,-1.909866,0.172368,-9.79898,-0.34739200000000003,-2.6236580000000003,-1.862442,-2.24708,-2.9177400000000002,0.040207,-0.9402010000000001,0.0,22.5647,36.7477,-22.2931,215.3235,77.1022,20.3394,0,58.10958,59.999237,30.361145,0,,0.0,24.224,0.0,0 / 32,2300016,2020-01-10 18:41:18:886
WALKING,-0.9245610000000001,-10.090988000000001,-3.311661,-1.033857,-9.474286,-2.310717,-0.004906000000000001,-0.401778,-0.743979,0.004807,-0.180313,0.070374,0.0,34.1232,37.3322,0.2335,91.2263,76.6369,163.7614,0,58.05745,59.999072999999996,30.361079999999998,0,,0.0,23.413,0.0,3 / 32,2400016,2020-01-10 18:42:58:886
WALKING,-0.308044,-8.883118,-1.4418030000000002,0.355714,-9.587042,-2.032853,0.17210799999999998,0.42782700000000007,0.866813,-0.655121,-0.429947,-0.111252,0.0,12.9791,28.3203,-23.1812,16.5664,83.4805,-168.9564,0,54.14191999999999,59.999069999999996,30.361559999999997,0,,0.0,30.0,0.0,1 / 32,2500017,2020-01-10 18:44:38:887
WALKING,-0.100952,-9.4254,-3.0207669999999998,0.034694,-9.345284,-2.9723450000000002,-0.17260699999999998,0.067625,0.02957,0.026474,-0.17161600000000002,-0.026749000000000002,0.0,5.2811,40.8371,-6.7749,17.7812,71.7752,-178.8325,0,61.46475,59.99915,30.361523,0,,0.0,35.656,0.0,1 / 32,2600017,2020-01-10 18:46:18:887
WALKING,2.039459,-7.860794,-1.483688,0.179082,-9.798065,-0.369098,1.93441,-0.345724,-0.8304790000000001,2.17955,1.259934,1.52623,0.0,-16.1758,46.9864,1.6907,243.2697,87.6024,-154.1179,0,66.2188,59.99841,30.362043,43,,3.852,10.6189995,228.2,25 / 35,2700016,2020-01-10 18:47:58:886
WALKING,-0.41699200000000003,-9.991638,-0.7462770000000001,-0.42119700000000004,-9.778863000000001,-0.605658,-0.102798,-0.00032,-0.059244000000000005,-0.018631,-0.08709700000000001,0.000244,0.0,2.3209,20.9976,-15.7684,39.703,85.8797,144.0643,0,52.14034,59.998369999999994,30.360174,48,,1.8719999999999999,60.680004000000004,292.8,9 / 34,2800017,2020-01-10 18:49:38:887
WALKING,-1.511139,-8.690384,-2.770584,-0.936408,-9.548391,-2.030209,-0.49771899999999997,0.669347,-1.411014,0.458084,-0.071838,0.619522,0.0,-4.541,44.3802,11.9675,264.4194,75.4744,179.1339,0,57.065619999999996,59.998215,30.360459999999996,0,,0.0,22.984,0.0,0 / 33,2900017,2020-01-10 18:51:18:887
WALKING,0.284515,4.533997,8.557587,0.14135,4.563680000000001,8.678894999999999,0.11374200000000001,-0.061863,0.161901,0.03801,-0.000275,-0.037567,114.0,22.2702,-22.7325,-42.7078,268.4201,-27.6144,-0.9861,5,35.40868,59.998215,30.360459999999996,0,,0.0,22.984,0.0,3 / 33,3000016,2020-01-10 18:52:58:886
WALKING,0.028336,1.9159240000000002,8.282257000000001,0.21318600000000001,2.311361,9.527987,0.73735,-0.486515,-1.68904,0.105652,-0.090836,0.305084,186.0,-14.9368,13.4399,-19.6442,40.7593,-13.0118,-0.502,5,52.47866,60.00063299999999,30.358497999999997,0,,0.0,500.0,0.0,0 / 1,13,2020-01-13 14:59:59:860
WALKING,0.028336,1.9159240000000002,8.282257000000001,0.21318600000000001,2.311361,9.527987,0.73735,-0.486515,-1.68904,0.105652,-0.090836,0.305084,186.0,-14.9368,13.4399,-19.6442,40.7593,-13.0118,-0.502,5,52.47866,60.00063299999999,30.358497999999997,0,,0.0,500.0,0.0,0 / 1,2513,2020-01-13 14:59:59:860
WALKING,-4.271652,-11.239014,-2.744247,-1.9222720000000002,-9.406725999999999,1.9971889999999999,-1.159891,-0.71592,-2.821081,-0.349747,-0.677963,0.268692,0.0,-31.2347,20.6909,-4.4449,46.5425,73.5808,43.905,0,58.615390000000005,60.00063299999999,30.358497999999997,0,,0.0,500.0,0.0,0 / 1,5013,2020-01-13 15:00:04:860
WALKING,-6.32109,-13.521881,-2.9345849999999998,-1.1199620000000001,-9.439922,2.409135,-2.397336,-3.652024,-5.8713489999999995,-3.047165,0.319824,0.726929,0.0,-26.6846,16.391,-33.9935,114.419,73.2117,20.409000000000002,0,61.27329,60.00063299999999,30.358497999999997,0,,0.0,500.0,0.0,0 / 1,10015,2020-01-13 15:00:09:862
WALKING,-4.916885,-15.287613,2.30513,-1.244118,-8.696082,-4.35898,0.567666,-2.4301169999999996,-6.4212050000000005,-0.6483760000000001,0.21846,-0.01326,0.0,-0.3845,47.641000000000005,4.805,355.62199999999996,62.4681,164.0705,0,60.8689,59.998325,30.360166999999997,0,,0.0,39.57,0.0,0 / 1,15014,2020-01-13 15:00:14:861
WALKING,0.85434,-13.797210999999999,9.69603,-1.266493,-9.717995,0.35633400000000004,-0.018987999999999998,-3.2783269999999995,3.027086,-3.4107819999999998,0.212585,0.47677600000000003,0.0,-5.0369,43.3868,-15.4007,67.5906,82.2899,74.2858,0,65.15596,59.998325,30.360166999999997,0,,0.0,39.57,0.0,0 / 1,20013,2020-01-13 15:00:19:860
WALKING,2.829544,-9.115356,-1.776977,-0.6034689999999999,-9.666755,-1.536251,1.811278,1.476121,0.786528,2.196945,-0.181549,-0.6113890000000001,0.0,2.4155,48.79,13.9557,1.4189,63.3204,172.8099,0,63.929030000000004,59.998325,30.360166999999997,0,,0.0,39.57,0.0,0 / 1,25013,2020-01-13 15:00:24:860
WALKING,-2.637604,-3.955856,2.414063,-1.946276,-8.011242,-5.3105910000000005,-0.42379399999999995,3.691072,7.383392,-1.6056979999999998,2.303711,0.9264979999999999,0.0,10.1135,48.6404,-3.7476,38.2807,70.9419,141.4689,0,65.77504,59.998325,30.360166999999997,0,,0.0,39.57,0.0,0 / 1,30014,2020-01-13 15:00:29:861
WALKING,1.146423,-13.751724,-0.7929689999999999,-1.018643,-8.734449,-4.340753,-3.130697,-3.8985730000000003,-2.760541,-0.395721,-0.776154,0.41481,0.0,10.965,39.4928,21.4554,114.6764,62.957,166.7934,0,65.45317,59.998695,30.360767,0,,0.0,31.302,0.0,0 / 1,35013,2020-01-13 15:00:34:860
WALKING,1.382248,-1.8633119999999999,2.708557,-0.583317,-8.001576,-5.639583,1.848275,6.071871,8.700003,2.225357,0.46914700000000004,0.6713560000000001,0.0,12.2177,36.8958,24.614,146.8046,63.6127,165.1779,0,59.917469999999994,59.998695,30.360767,0,,0.0,31.302,0.0,0 / 1,40014,2020-01-13 15:00:39:861
WALKING,-0.13208,-15.225357,-4.205902,-1.073045,-8.82767,-4.134151,-1.7610759999999999,-1.639868,2.660094,-3.076462,0.799194,0.16217,0.0,11.1145,43.7897,-0.3952,140.9289,81.5765,106.99600000000001,0,58.668569999999995,59.998695,30.360767,0,,0.0,31.302,0.0,1 / 2,45013,2020-01-13 15:00:44:860
WALKING,-2.309601,-12.652786,11.678436,-1.316741,-9.717488000000001,0.083736,0.368388,-3.931161,6.774516,-1.351807,0.032027999999999994,0.43878199999999995,0.0,7.8156,38.7909,-17.5446,207.5874,72.3084,13.8449,0,57.697390000000006,59.998695,30.360767,0,,0.0,31.302,0.0,2 / 3,50014,2020-01-13 15:00:49:861
WALKING,-0.263763,-12.804825,-2.5479119999999997,-0.644285,-9.603488,1.8783759999999998,-1.6990060000000002,2.34216,0.411279,1.865646,-0.413788,0.147781,0.0,7.515,43.9911,-6.9443,268.7435,78.3171,18.932000000000002,0,58.64434,59.998608,30.361612,0,,0.0,34.4,0.0,2 / 3,55014,2020-01-13 15:00:54:861
WALKING,-2.959625,-6.885161999999999,2.46315,-0.9292360000000001,-9.754893,-0.385937,0.578338,1.2835299999999998,-1.20725,1.9814150000000001,-2.074707,0.023499000000000003,0.0,6.7139,38.4888,18.9621,123.2499,64.9765,168.6732,0,65.1111,59.998608,30.361612,0,,0.0,34.4,0.0,2 / 3,60013,2020-01-13 15:00:59:860
WALKING,-8.858948,-18.799896,6.111908000000001,-1.2793290000000002,-8.688054,-4.364794,7.537922,2.575789,3.372282,0.123947,-0.543381,0.052261,0.0,5.8151,38.0905,24.054000000000002,187.9991,64.013,164.1487,0,60.580659999999995,59.998608,30.361612,0,,0.0,34.4,0.0,2 / 3,65014,2020-01-13 15:01:04:861
WALKING,-1.520721,-21.134247,-25.181503,-1.020267,-8.932431,-3.916775,-0.9282370000000001,-2.59635,-7.720427000000001,2.7666779999999997,-0.269623,0.9953770000000001,0.0,2.3651,38.0905,22.2046,1.7061,54.0128,175.1497,0,65.06555,59.998608,30.361612,0,,0.0,34.4,0.0,2 / 3,70014,2020-01-13 15:01:09:861
WALKING,-4.190246,-8.846008,-2.486862,-1.32994,-9.238127,-3.009762,1.698422,-3.500125,2.2529779999999997,-3.08818,-0.023361,0.323029,0.0,0.7645,45.0912,-3.2944,64.7052,85.8597,65.2146,0,61.393730000000005,59.998608,30.361612,0,,0.0,34.4,0.0,3 / 4,75013,2020-01-13 15:01:14:860
WALKING,-5.881759,-11.721451,-0.754654,-0.549949,-9.451431,2.557025,-2.8126330000000004,-1.526165,-5.8389169999999995,-0.068863,-0.9545899999999999,-0.060837,0.0,-7.9849,45.2423,-14.3433,71.5904,84.1166,62.9295,0,62.64694,59.998656999999994,30.362274,78,,0.0,42.475998,,6 / 30,80014,2020-01-13 15:01:19:861
WALKING,-0.8946379999999999,-10.104156,-0.572708,-1.019483,-9.753285,-0.066812,-0.610219,0.076596,0.592781,-0.592438,-0.997375,-0.147293,0.0,-7.4356,50.6409,-9.3948,33.7656,83.9338,93.2494,0,64.68508,59.998557999999996,30.362038000000002,63,,0.0,15.170001000000001,,18 / 30,85013,2020-01-13 15:01:24:860
WALKING,-1.827179,-9.767776,-0.18364,-2.0440099999999997,-9.590927,0.080846,0.180475,-0.11736600000000001,-0.5955550000000001,-0.276947,-0.9206700000000001,-0.000824,0.0,-16.0858,51.2909,0.7553,359.2012,77.96,87.735,0,68.06787,59.99856,30.362013,60,,0.0,15.170001000000001,,20 / 30,90014,2020-01-13 15:01:29:861
WALKING,-1.827179,-10.228653,-0.102234,-1.339256,-9.714537,-0.067453,0.113436,-0.550473,-0.490187,0.154831,-0.5110779999999999,0.169266,0.0,-23.1354,48.1415,11.7554,302.7352,82.865,130.7177,0,68.17639,59.99844399999999,30.362007000000002,53,,1.8,15.170001000000001,271.6,20 / 30,95014,2020-01-13 15:01:34:861
WALKING,-0.49958800000000003,-9.985641000000001,-1.375961,-0.8670399999999999,-9.460265,-2.433518,0.9464950000000001,0.28231999999999996,1.95849,0.8587950000000001,-0.820709,0.002014,0.0,-26.6937,45.0882,20.8191,274.83,66.2575,172.0358,0,67.30188000000001,59.99844,30.361841,59,,4.6080000000000005,15.170001000000001,272.5,21 / 30,100014,2020-01-13 15:01:39:861
WALKING,-4.071731,-11.836364999999999,0.253296,-1.299584,-9.621072999999999,-1.38435,-0.34577800000000003,-1.8579720000000002,6.847682000000001,-3.087479,-0.971268,-0.329803,0.0,-22.0856,49.8901,2.4551,31.1558,76.4527,38.3188,0,67.51007,59.998447,30.361752000000003,63,,3.528,15.170001000000001,293.1,21 / 30,105014,2020-01-13 15:01:44:861
WALKING,-6.495865,-9.418228,2.009445,-1.004151,-8.984332,-3.800504,-0.34572800000000004,-5.684699,-0.305252,-0.287781,0.047820999999999995,-0.017151,0.0,-27.5848,43.7912,23.3063,276.6096,66.3691,165.1998,0,66.82497,59.99845500000001,30.36168,66,,3.168,18.203999,278.9,22 / 31,110013,2020-01-13 15:01:49:860
WALKING,-1.286087,-9.879105000000001,-0.26265,-1.167203,-9.652130999999999,-1.28234,-0.17951199999999998,0.270362,1.001034,0.814941,-0.608368,0.14761400000000002,0.0,-21.8857,41.9403,9.8572,290.8911,77.7729,154.7607,0,67.90612,59.998463,30.361677,60,,1.8719999999999999,16.687,298.4,23 / 31,115013,2020-01-13 15:01:54:860
WALKING,-3.31636,-8.359985,-5.850723,-2.5371349999999997,-8.696813,-3.754835,-3.022727,1.312797,-1.6851330000000002,0.270599,0.796188,0.874466,0.0,-0.5356,43.5913,6.7551,343.339,63.3918,149.4295,0,68.2773,59.998490000000004,30.361634999999996,61,,0.0,16.687,,23 / 31,120016,2020-01-13 15:01:59:863
WALKING,-9.901611,-11.996780000000001,9.415909,-0.900927,-8.700721000000001,-4.433529,-1.7135200000000002,-1.191054,6.610305,0.74588,0.39813200000000004,-0.5989680000000001,0.0,6.3629,40.6418,21.6034,76.2641,60.5936,167.7586,0,64.07009000000001,59.998516,30.361746000000004,61,,5.04,16.687,99.0,23 / 31,125014,2020-01-13 15:02:04:861
